Country,Area(sq km),Birth rate(births/1000 population),Current account balance,Death rate(deaths/1000 population),Debt - external,Electricity - consumption(kWh),Electricity - production(kWh),Exports,GDP,GDP - per capita,GDP - real growth rate(%),HIV/AIDS - adult prevalence rate(%),HIV/AIDS - deaths,HIV/AIDS - people living with HIV/AIDS,Highways(km),Imports,Industrial production growth rate(%),Infant mortality rate(deaths/1000 live births),Inflation rate (consumer prices)(%),Internet hosts,Internet users,Investment (gross fixed)(% of GDP),Labor force,Life expectancy at birth(years),Military expenditures - dollar figure,Military expenditures - percent of GDP(%),Natural gas - consumption(cu m),Natural gas - exports(cu m),Natural gas - imports(cu m),Natural gas - production(cu m),Natural gas - proved reserves(cu m),Oil - consumption(bbl/day),Oil - exports(bbl/day),Oil - imports(bbl/day),Oil - production(bbl/day),Oil - proved reserves(bbl),Population,Public debt(% of GDP),Railways(km),Reserves of foreign exchange & gold,Telephones - main lines in use,Telephones - mobile cellular,Total fertility rate(children born/woman),Unemployment rate(%)
Austria,83870,8.81,-3283000000,9.70,15500000000,55090000000,58490000000,102700000000,255900000000,31300,1.90,0.30,100,10000,200000,101200000000,3.30,4.66,1.80,387006,3730000,22.60,3450000,78.92,1497000000,0.90,7810000000,403000000,6033000000,1731000000,24900000000,262400,35470,262000,20670,85690000,8184691,64.20,6021,12730000000,3881000,7094500,1.36,4.40
Chile,756950,15.44,2185000000,5.76,44600000000,41800000000,48600000000,29200000000,169100000000,10700,5.80,0.30,1400,26000,79605,22530000000,7.80,8.80,2.40,202429,3575000,23.90,6200000,76.58,3420000000,3.80,6517000000,0,5337000000,1180000000,99050000000,240000,0,221500,18500,150000000,15980912,12.80,6585,16020000000,3467000,6445700,2.02,8.50
China,9596960,13.14,30320000000,6.94,233300000000,1630000000000,1910000000000,583100000000,7262000000000,5600,9.10,0.10,44000,840000,1765222,552400000000,17.10,24.18,4.10,160421,94000000,46.00,760800000,72.27,67490000000,4.30,29180000000,0,0,35000000000,2230000000000,4956000,427800,2414000,3392000,17740000000,1306313812,31.40,70058,609900000000,263000000,269000000,1.72,9.80
Czech Republic,78866,9.07,-5730000000,10.54,36280000000,55330000000,71750000000,66510000000,172200000000,16800,3.70,0.10,10,2500,127204,68190000000,4.70,3.93,3.20,295677,2700000,29.00,5250000,76.02,2170000000,2.02,9892000000,1000000,9521000000,160000000,3057000000,175700,26670,192300,7419,17250000,10241138,33.50,9520,32780000000,3626000,9708700,1.20,10.60
Denmark,43094,11.36,6529000000,10.43,21700000000,31630000000,36380000000,73060000000,174400000000,32200,2.10,0.20,100,5000,71847,63450000000,1.70,4.56,1.40,1219925,2756000,19.80,2870000,77.62,3271600000,1.50,5280000000,3100000000,0,8380000000,81980000000,218000,332100,195000,346200,1230000000,5432335,42.50,3002,37980000000,3610100,4785300,1.74,6.20
Greece,131940,9.72,-8000000000,10.15,67230000000,47420000000,47220000000,15500000000,226400000000,21300,3.70,0.20,100,9100,117000,54280000000,4.10,5.53,2.90,208977,1718400,27.00,4400000,79.09,5890000000,4.30,2021000000,0,2018000000,35000000,254900000,405700,84720,468300,5992,4500000,10668354,112.00,2571,7300000000,5205100,8936200,1.33,10.00
Hungary,93030,9.76,-7941000000,13.19,57000000000,35990000000,34070000000,54620000000,149300000000,14900,3.90,0.10,100,2800,159568,58680000000,9.60,8.57,7.00,383071,1600000,22.80,4170000,72.40,1080000000,1.75,13370000000,4000000,9587000000,3231000000,50450000000,140700,47180,136600,41190,110700000,10006835,58.30,7937,14800000000,3666400,6862800,1.32,5.90
Indonesia,1919440,20.71,7338000000,6.25,141500000000,92350000000,110200000000,69860000000,827400000000,3500,4.90,0.10,2400,110000,342700,45070000000,10.50,35.60,6.10,62036,8000000,16.60,111500000,69.57,1300000000,3.00,55300000000,39700000000,0,77600000000,2549000000000,1183000,518100,370500,971000,4900000000,241973879,56.20,6458,35820000000,7750000,11700000,2.44,9.20
Ireland,70280,14.47,-2881000000,7.85,11000000000,21780000000,22880000000,103800000000,126400000000,31900,5.10,0.10,100,2800,95736,60650000000,7.00,5.39,2.20,162228,1260000,23.80,1920000,77.56,700000000,0.90,4199000000,0,3384000000,815000000,9911000000,174400,27450,178600,0,0,4015676,31.20,3312,4152000000,1955000,3400000,1.87,4.30
Italy,301230,8.89,-21100000000,10.30,913900000000,293900000000,261600000000,336400000000,1609000000000,27700,1.30,0.50,1000,140000,479688,329300000000,0.70,5.94,2.30,1437511,18500000,19.30,24270000,79.68,28182800000,1.80,71180000000,61000000,54780000000,15490000000,209700000000,1866000,456600,2158000,79460,586600000,58103033,105.60,19507,61500000000,26596000,55918000,1.28,8.60
